Star Designation,Star Designation,"Stellar
Class",Magnitude,Magnitude,"Right
Ascension
(J2000)",Declination (J2000),"Distance
(Light-years)"
Star Designation,Star Designation,"Stellar
Class",Apparent,Absolute,"Right
Ascension
(J2000)",Declination (J2000),"Distance
(Light-years)"
Sun,Sun,G2V,−26.74,4.80,—,—,0
α Centauri,A,G2V,−0.01,4.34,14h 39m 36.50s,−60° 50′ 02.3″,4.34
α Centauri,B,K1V,1.35,5.71,14h 39m 35.08s,−60° 50′ 13.8″,4.34
Sirius (α Canis Majoris),Sirius (α Canis Majoris),A1V,−1.44,1.45,06h 45m 08.92s,−16° 42′ 58.0″,8.60
ε Eridani,ε Eridani,K2V,3.72,6.18,03h 32m 55.84s,−09° 27′ 29.7″,10.5
61 Cygni,A,K5.0V,5.20,7.49,21h 06m 53.94s,+38° 44′ 57.9″,11.4
61 Cygni,B,K7.0V,6.05,8.33,21h 06m 53.94s,+38° 44′ 57.9″,11.4
Procyon (α Canis Minoris),A,F5IV-V,0.40,2.68,07h 39m 18.12s,+05° 13′ 30.0″,11.5
ε Indi,ε Indi,K5Ve,4.69,6.90,22h 03m 21.66s,−56° 47′ 09.5″,11.9
τ Ceti,τ Ceti,G8Vp,3.49,5.68,01h 44m 04.08s,−15° 56′ 14.9″,11.9
Groombridge 1618 (in Ursa Major),Groombridge 1618 (in Ursa Major),K7.0V,6.60,8.16,10h 11m 22.14s,+49° 27′ 15.3″,15.9
ο2 Eridani,A,K1Ve,4.43,5.92,04h 15m 16.32s,−07° 39′ 10.3″,16.3
70 Ophiuchi,A,K1Ve,4.24,5.71,18h 05m 27.29s,+02° 30′ 00.4″,16.7
70 Ophiuchi,B,K5Ve,6.01,7.48,18h 05m 27.29s,+02° 30′ 00.4″,16.7
Altair (α Aquilae),Altair (α Aquilae),A7Vn,0.76,2.21,19h 50m 47.00s,+08° 52′ 06.0″,16.7
σ Draconis,σ Draconis,G9V,4.67,5.87,19h 32m 21.59s,+69° 39′ 40.2″,18.8
Gliese 570 (in Libra),A,K5Ve,5.72,6.86,14h 57m 28.00s,−21° 24′ 55.7″,19.2
η Cassiopeiae,A,G3V,3.46,4.59,00h 49m 06.29s,+57° 48′ 54.7″,19.3
36 Ophiuchi,A,K1Ve,5.07,6.18,17h 15m 20.98s,−26° 36′ 10.2″,19.4
36 Ophiuchi,B,K1Ve,5.11,6.22,17h 15m 20.98s,−26° 36′ 10.2″,19.4
36 Ophiuchi,C,K5Ve,6.33,7.45,17h 16m 13.36s,−26° 32′ 46.1″,19.4
