Name,RA,Dec,Other names,Kinematic Age (yr),Central Star Temp (K),Structure (Literature),Aspect Ratio (Overall),Opening Angle (Avg),PG Mass (Solar M),C(e-4),O(e-4),C/O,Metallicity [O/H](e-4),Radial Velocity (km/s),Magnititude,MAT,Mass/Temp,MA,A/T,TA
Abell 31,08 54 13.16,+08 53 52.94,"PN A66 31, PK 219+31.1",7500,150000,1,0.93,,2,,,,,44070,15.5,0.1,0.00001333333333,15000,0.05,1125000000
Abell 36,13 40 41.34,-19 52 55.32,"PN A66 36, PK 318+41.1",6350,93000,1,0.70,,,,,,,37,11.5,,,,0.06827956989,590550000
Abell 39,16 27 33.71,+27 54 33.47,"PN A66 39, PK 047+42.1",11000,117000,1,0.96,,,,,,,20,15.6,,,,0.09401709402,1287000000
Abell 70,20 31 33.21,-07 05 18.03,"PN A66 70, PK 038-25.1",15000,174000,1,0.90,,3,,,,3.20,13,19.1,0.2586206897,0.00001724137931,45000,0.08620689655,2610000000
Abell 78,21 35 29.38,+31 41 45.45,"PN A66 78, PK 081-14.1",15000,113000,1,0.88,,,,,,,14,13.2,,,,0.1327433628,1695000000
Abell 79,22 26 17.27,+54 49 38.24,"PN A66 79, PK 102-02.1",,,1,0.70,,,,,,,29,18.7,,,,,
Cn 1-5,18 29 11.65,-31 29 59.14,"HD 170124, Hen 2-402, PK 002-09.1",,,1,0.85,,,15.1,6.91,7.05,8.31,33,,,,,,
Fleming 1,11 28 36.22,-52 56 04.12,"HD 99842, PN Fg 1, PK 290+07.1",,,0,0.69,,,,,,,14,,,,,,
Hb 12,23 26 14.82,+58 10 54.54,"PN Hb 12, PK 111-02.1",300,40000,2,0.54,122,,,,0.3,,51,,,,,,12000000
Hen 2 -90,13 09 36.24,-61 19 35.98,PK 305+01.1,,,2,0.42,97,,,,,,26,,,,,,
Hen 2-104,14 11 52.06,-51 26 24.19,"Southern Crab, V852 Cen",,,2,0.52,137.5,,,,,,20,,,,,,
Hen 2-429,19 13 38.42,+14 59 19.16,PK 048+01.1,,,1,0.68,,,,,,,19,,,,,,
Hen 2-47,10 23 09.14,-60 32 42.10,"PK 285-02.1, PN My 59",,,0,0.73,,,,,,,43,,,,,,
Hen 3-1357,17 16 21.08,-59 29 23.3,"V839 Ara, Stingray Nebula, PK 331-12.1",,,0,0.97,,,,,,,74,,,,,,
IC 0418,05 27 28.21,-12 41 50.28,"HD 35914, PK 215-24.1, ZZ Lep",6000,39000,1,0.77,,1.4,6.17,4.35,1.43,3.50,29,,0.2153846154,0.0000358974359,8400,0.1538461538,234000000
IC 1295,18 54 37.15,-08 49 37.42,PK 025-04.2,11000,90100,1,0.86,,,,,,,13,,,,,0.1220865705,991100000
IC 1454,22 42 24.62,+80 26 31.25,"PK 117+18.1, PN A66 81",,,1,0.94,,,,,,,24,,,,,,
IC 2149,05 56 23.90,+46 06 17.20,"HD 39659, PK 166+10.1, BD+46 1067",2000,42000,2,0.55,107,1.2,,,0.7,2.20,29,,0.05714285714,0.00002857142857,2400,0.04761904762,84000000
IC 2448,09 07 06.32,-69 56 30.69,"HD 78991, Hen 2-19, PK 285-14.1",7000,98500,1,0.95,,,,2.75,1.63,2.50,22,,,,,0.07106598985,689500000
IC 2553,10 09 20.86,-62 36 48.55,"HD 88367, Hen 2-42, PK 285-05.1",,,2,0.61,108,,,,1.01,,30,,,,,,
IC 3568,12 33 06.85,+82 33 50.20,"HD 109540, PK 123+34.1, BD+83 357",3600,50000,1,0.93,,2.5,4.07,1.45,0.31,3.14,44,,0.18,0.00005,9000,0.072,180000000
IC 4191,13 08 47.31,-67 38 37.54,"HD 113981, Hen 2-89, PK 304-04",,95000,1,0.69,,,9.12,10.2,,7.70,31,,,,,0,
IC 4406,14 22 26.14,-43 55 23.04,"HD 125720, Hen 2-110, PK 319+15.1",6900,94000,2,0.35,180,,2.45,4.29,,1.08,21,,,,,0.07340425532,648600000
IC 4593,16 11 44.55,+12 04 17.03,"HD 145649, BD+12 2966, PK 025+40.1",9000,48100,1,0.89,,0.7,5.75,4.57,0.08,4.16,33,,0.130977131,0.00001455301455,6300,0.1871101871,432900000
IC 4634,17 01 33.58,-21 49 33.02,"HD 153655, Hen 2-189, BD -21 4483, PK 000+12.1",,55000,2,0.40,133,,4.29,4.07,0.34,3.16,35,,,,,0,
IC 4663,17 45 28.63,-44 54 17.99,"HD 161028, Hen 2-273, PK 346-08.1",4900,140000,1,0.75,,,,,,,26,,,,,0.035,686000000
IC 4997,20 20 08.76,+16 43 53.70,"HD, 193538, Hen 2-464, QV Sge, PK 058-10.1",990,53000,2,0.63,128,,,,0.3,1.70,35,,,,,0.01867924528,52470000
IC 5148,21 59 35.09,-39 23 08.23,PK 002-52.1,8500,130000,1,0.99,,1.5,,,,,34,,0.09807692308,0.00001153846154,12750,0.06538461538,1105000000
Jones-Emberson 1,07 57 51.62,+53 25 16.95,"PN JnEr 1, PK 164+31.1",,,1,0.93,,,,3.44,,,43,,,,,,
Kronberger 61,19 21 38.94,+38 18 57.22,"PN Kn 61, Soccer Ball Nebula",,,1,0.99,,,,,,,12,,,,,,
M 1-42,18 11 04.99,-28 58 59.1,"PN M 1-42, Hen 2-359, PK 002-04.2",,,1,0.81,,,,,2.82,6.92,69,,,,,,
M2-9,17 05 37.96,-10 08 32.51,"PN M 2-9, Butterfly Nebula, Twin Jet Nebulam AFGL 5334, PK 010+18.2",2500,,2,0.23,126,,,,,0.70,33,,,,,,
MR22,10 21 33.86,-58 05 47.66,"Hen 3-404, AFGL 4104, PN G284.1-00.7",,37500,2,0.62,142,,,,,,16,,,,,,
MyCn 18,13 39 35.06,-67 22 51.75,"Etched Hourglass Nebula, Hen 2-95, PK 307-04.1, PN MyCN 18",,110000,2,0.55,158,,4.37,1.78,,3.20,77,,,,,,
Mz 1,15 34 16.64,-59 09 08.11,"PN Mz 1, Hen 2-130, PK 322-02",,,2,0.58,164,,5.37,2.95,,,33,,,,,,
Mz 3,16 17 13.39,-51 59 10.71,"PN Mz 3, Ant Nebula, Hen 2-154, PK 331-01.1 ",,39500,2,0.32,130,,,,,2.30,20,,,,,,
NGC 0040,00 13 01.02,+72 31 19.03,"V400 Cep, HD 826, AFGL 5006, PK 120+09.1",2800,71000,1,0.80,,,2.82,4.07,1.2,4.57,20,11.8,,,,0.03943661972,198800000
NGC 0246,00 47 03.34,-11 52 18.97,"BD-12 134, PK 118-74.1",12000,150000,1,0.86,,3.75,,,1.06,,15.7,11.6,0.3,0.000025,45000,0.08,1800000000
NGC 0650,01 42 19.66,+51 34 31.53,"M 76, Barbell Nebula, Cork Nebula, Little Dumbbell Nebula, HD 10346, PK 130-10.1",10000,140000,2,0.51,162,3,12.02,6.92,2.96,5.61,23.6,10.6,0.2142857143,0.00002142857143,30000,0.07142857143,1400000000
NGC 1360,03 33 14.65,-25 52 17.98,"PN M 1-3, PK 220-53.1",10000,106000,1,0.68,,2.7,,,1,,108,11.3,0.2547169811,0.00002547169811,27000,0.09433962264,1060000000
NGC 1501,04 06 59.3,+60 55 14.28,"CH Cam, PK 144+06.1",2000,112000,1,0.93,~,1.7,2.45,1.58,0.31,4.15,36.9,11.5,0.03035714286,0.00001517857143,3400,0.01785714286,224000000
NGC 1514,04 09 16.99,+30 46 33.47,"HD 281679, BD+30 623, PK 165-15.1",5000,100000,1,0.97,~,4.5,,1.78,,1.10,39,9.5,0.225,0.000045,22500,0.05,500000000
NGC 1535,04 14 15.77,-12 44 21.93,"HD 26847, BD-13 842, PK 206-40.1",11250,85000,1,0.99,,2.5,1.51,4.07,0.61,2.59,1.4,9.6,0.3308823529,0.00002941176471,28125,0.1323529412,956250000
NGC 2022,05 42 06.19,+09 05 10.59,"HD 37882, PK 196-10.1",5260,122000,1,0.98,,1.5,3.38,1.95,0.82,4.50,41,11.8,0.06467213115,0.00001229508197,7890,0.0431147541,641720000
NGC 2242,06 34 07.35,+44 46 37.79,PK 170+15,5000,115000,1,0.97,,,,,0.34,5.89,38,12.4,,0,,0.04347826087,575000000
NGC 2346,07 09 22.52,-00 48 23.61,"HD 293373, PN M 1-10, V 651 Mon, PK 215+03.1",3500,130000,2,0.36,147,4,,2.29,0.35,3.20,47,10.5,0.1076923077,0.00003076923077,14000,0.02692307692,455000000
NGC 2371,07 25 34.69,+29 29 26.43,PK 189+19.1,3000,135000,1,0.86,,0.6,3.72,7.94,0.38,4.47,21,10.2,0.01333333333,0.000004444444444,1800,0.02222222222,405000000
NGC 2392,07 29 10.77,+20 54 42.47,"HD 59088, BD+21 1609, PK 197+17.1",1610,47900,1,0.94,,1.6,3.3,1.99,0.78,2.36,84.2,9.7,0.05377870564,0.00003340292276,2576,0.03361169102,77119000
NGC 2438,07 41 50.52,-14 44 07.47,"HD 62099, BD-14 2129, PK 231+04.2",17000,165000,1,0.98,,1.8,28.8,13.2,0.57,4.50,77,10.6,0.1854545455,0.00001090909091,30600,0.103030303,2805000000
NGC 2440,07 41 55.4,-18 12 32,"HD 62166, BD-17 2105, PK 234+02.1",3000,171000,2,0.63,162,2.8,9.12,8.71,1.11,3.09,62.7,11.6,0.04912280702,0.00001637426901,8400,0.01754385965,513000000
NGC 2452,07 47 26.26,-27 20 06.82,"Hen 2-4, V354 Pup, PK 243-01.1",6000,141000,0,0.84,,7,,3.91,0.76,3.50,68,12.6,0.2978723404,0.00004964539007,42000,0.04255319149,846000000
NGC 2610,08 33 23.42,-16 08 57.80,PK 239+13.1,20600,100000,1,0.90,,2.5,,,,,88,12.8,0.515,0.000025,51500,0.206,2060000000
NGC 2792,09 12 26.56,-42 25 38.92,"HD 79384, Hen 2-20, PK 265+04.1",3500,160000,1,0.73,,1.2,,,1.46,4.50,14,11.8,0.02625,0.0000075,4200,0.021875,560000000
NGC 2818,09 16 01.49,-36 37 37.52,"Hen 2-23, PN Hb 2, PK 261+08.1",8400,160000,0,0.58,117,2.1,1.66,1.91,1.6,2.63,21.14,9.3,0.11025,0.000013125,17640,0.0525,1344000000
NGC 2867,09 21 25.38,-58 18 40.63,"HD 81119, Hen 2-27, PK 278-05.1",15000,141000,1,0.90,,,17.8,3.79,1.5,3.90,18,10.7,,,,0.1063829787,2115000000
NGC 2899,09 27 03.02,-56 06 21.1,"Hen 2-30, PK 277-03.1",14000,285000,0,0.57,,,,,,6.84,48,9.2,,,,0.04912280702,3990000000
NGC 3132,10 07 01.77,-40 26 11.13,"HD87892, HD 87877, Hen 2-40, PK 272+12.1",6000,105000,1,0.70,,2.9,2.82,3.98,0.34,5.72,49,8,0.1657142857,0.00002761904762,17400,0.05714285714,630000000
NGC 3195,10 09 20.91,-80 51 30.73,"Hen 2-44, PK 296-20.1",9000,,1,0.81,,2.1,,,0.8,4.78,20,10.2,,,18900,,
NGC 3211,10 17 50.54,-62 40 12.10,"HD 89516, Hen 2-46, PK 286-04.1",6000,145000,1,0.77,,2.5,,,,5.08,16,11.7,0.1034482759,0.00001724137931,15000,0.04137931034,870000000
NGC 3242,10 24 46.13,-18 38 32.30,"Jupiter's Ghost Nebula, HD 90255, BD-17 3140, PK 261+32.1",4000,94500,1,0.70,,1.2,1.02,1.85,1.22,3.16,4.7,7.6,0.05079365079,0.0000126984127,4800,0.04232804233,378000000
NGC 3587,11 14 47.71,+55 01 08.48,"M 97, Owl Nebula, PK 148+57.1",8000,93900,1,0.93,,2,,4.37,,2.30,15,11.4,0.1703940362,0.00002129925453,16000,0.0851970181,751200000
NGC 3699,11 27 57.84,-59 57 28.45,"HD 306491, Hen 2-65, PK 292+01.1",3500,,0,0.77,,,,,,,14,11.9,,,,,
